"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","358","436","10図","三葛遺跡","みかずらいせき","三葛","散布地","弥生～中世","扇状地","弥生土器、土師器、須恵器、黒色土器、瓦器、瓦、石器、土製品","","01 和歌山市","135.19276747653","34.1912245746127","埋蔵文化財包蔵地_線"
"","","116","154","5図","北野遺跡","きたのいせき","北野","散布地","","丘陵","","","01 和歌山市","135.246689311734","34.2699991116245","埋蔵文化財包蔵地_線"
"","","2845","56","26図","高家城跡","たいえじょうあと","池田1063ほか","城跡","中世","山頂","永禄11年（1568）築城
空濠、曲輪","","16 日高町","135.126960430372","33.9342780886119","埋蔵文化財包蔵地_線"
"","","3160","16","39図","津井火葬墳墓","ついかそうふんぼ","印南","墳墓","鎌倉","丘陵","備前焼壷","","20 印南町","135.210577552158","33.814385326125","埋蔵文化財包蔵地_線"
"","","3161","17","39図","津田西王子跡","つだにしおうじあと","印南","王子跡","鎌倉","丘陵裾","0","","20 印南町","135.206884027717","33.8134824909141","埋蔵文化財包蔵地_線"
"","","3159","15","39図","津井東王子跡","ついひがしおうじあと","印南","王子跡","平安","丘陵","0","","20 印南町","135.211681345572","33.8133225317792","埋蔵文化財包蔵地_線"
"","","3165","20","39図","イカルガ王子跡","いかるがおうじあと","印南","王子跡","平安","丘陵裾","0","","20 印南町","135.222069421481","33.8088576239881","埋蔵文化財包蔵地_線"
"","","2559","66","39図","上野王子跡","うえのおおじあと","名田町","王子跡","平安","海岸砂丘","0","","14 御坊市","135.1845537455","33.8276536719456","埋蔵文化財包蔵地_線"
"","","2721","61-1","39図","加尾１号墳","","名田町野島","古墳","古墳","丘陵裾","円墳","","14 御坊市","135.17766763314","33.8339238052207","埋蔵文化財包蔵地_線"
"","","2722","61-2","39図","加尾２号墳","","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、須恵器（杯5）","","14 御坊市","135.179589972759","33.8352760550817","埋蔵文化財包蔵地_線"
"","","2724","61-4","39図","加尾４号墳","","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、鉄刀、須恵器（杯）","","14 御坊市","135.180193661502","33.8350507552726","埋蔵文化財包蔵地_線"
"","","2723","61-3","39図","加尾３号墳","","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室、須恵器（杯）","","14 御坊市","135.179677319829","33.8345867554229","埋蔵文化財包蔵地_線"
"","","2725","61-5","39図","加尾５号墳","","名田町野島","古墳","古墳","丘陵裾","円墳、横穴式石室","","14 御坊市","135.18019364479","33.8342620281878","埋蔵文化財包蔵地_線"
"","","2560","67","39図","仏井戸遺跡","ほとけいどいせき","名田町","井戸跡","鎌倉","平地","古井戸","","14 御坊市","135.182923082132","33.8308125009304","埋蔵文化財包蔵地_線"
"","","2561","68","39図","下楠井古墳","しもくすいこふん","名田町","古墳","古墳","丘陵裾","古墳","","14 御坊市","135.199268758153","33.8137817613139","埋蔵文化財包蔵地_線"
"","","3164","19","39図","印南古墳","いなみこふん","印南","古墳","古墳","丘陵裾","円墳、須恵器､土師器","","20 印南町","135.22130902953","33.8183309187421","埋蔵文化財包蔵地_線"
